agent_id,agent_name,role,department,team_id,hire_date,active
A001,Employee 01,Support Agent,Support,T-SUP-1,2024-10-16,1
A002,Employee 02,Support Agent,Support,T-SUP-2,2023-04-25,1
A003,Employee 03,Support Agent,Support,T-SUP-3,2023-01-26,1
A004,Employee 04,Support Agent,Support,T-SUP-1,2025-01-29,1
A005,Employee 05,Support Agent,Support,T-SUP-2,2023-10-09,1
A006,Employee 06,Support Agent,Support,T-SUP-3,2023-09-08,1
A007,Employee 07,Support Agent,Support,T-SUP-1,2023-08-17,1
A008,Employee 08,Support Agent,Support,T-SUP-2,2023-05-23,1
A009,Employee 09,Support Agent,Support,T-SUP-3,2025-01-24,1
A010,Employee 10,Support Agent,Support,T-SUP-1,2023-04-15,1
A011,Employee 11,Support Agent,Support,T-SUP-2,2024-11-23,1
A012,Employee 12,Support Agent,Support,T-SUP-3,2025-01-28,1
A013,Employee 13,Support Agent,Support,T-SUP-1,2024-07-12,1
A014,Employee 14,Support Agent,Support,T-SUP-2,2023-03-31,1
A015,Employee 15,Support Agent,Support,T-SUP-3,2024-08-27,1
A016,Employee 16,Support Agent,Support,T-SUP-1,2024-03-08,1
A017,Employee 17,Support Agent,Support,T-SUP-2,2023-02-02,1
A018,Employee 18,Support Agent,Support,T-SUP-3,2023-01-31,1
A019,Employee 19,Support Agent,Support,T-SUP-1,2023-04-06,1
A020,Employee 20,Support Agent,Support,T-SUP-2,2023-08-12,1
A021,Employee 21,Support Agent,Support,T-SUP-3,2023-08-27,1
A022,Employee 22,Support Agent,Support,T-SUP-1,2024-06-01,1
A023,Employee 23,Support Agent,Support,T-SUP-2,2024-09-08,1
A024,Employee 24,Support Agent,Support,T-SUP-3,2023-01-28,1
A025,Employee 25,Support Agent,Support,T-SUP-1,2024-07-28,1
A026,Employee 26,Support Agent,Support,T-SUP-2,2023-07-23,1
A027,Employee 27,Support Agent,Support,T-SUP-3,2025-01-03,1
A028,Employee 28,Support Agent,Support,T-SUP-1,2024-10-27,1
A029,Employee 29,Support Agent,Support,T-SUP-2,2024-12-19,1
A030,Employee 30,Support Agent,Support,T-SUP-3,2024-07-12,1
A031,Employee 31,Support Agent,Support,T-SUP-1,2024-03-05,1
A032,Employee 32,Support Agent,Support,T-SUP-2,2023-08-14,1
A033,Employee 33,Support Agent,Support,T-SUP-3,2024-04-04,1
A034,Employee 34,Support Agent,Support,T-SUP-1,2024-08-26,1
A035,Employee 35,Support Agent,Support,T-SUP-2,2023-10-12,1
A036,Employee 36,Support Agent,Support,T-SUP-3,2023-01-07,1
A037,Employee 37,Support Agent,Support,T-SUP-1,2025-02-16,1
A038,Employee 38,Support Agent,Support,T-SUP-2,2023-06-13,1
A039,Employee 39,Sales Rep,Sales,T-SAL-1,2024-05-15,1
A040,Employee 40,Sales Rep,Sales,T-SAL-2,2023-08-07,1
A041,Employee 41,Sales Rep,Sales,T-SAL-1,2023-05-15,1
A042,Employee 42,Sales Rep,Sales,T-SAL-2,2023-03-12,1
A043,Employee 43,Sales Rep,Sales,T-SAL-1,2022-11-07,1
A044,Employee 44,Sales Rep,Sales,T-SAL-2,2023-01-07,1
A045,Employee 45,Sales Rep,Sales,T-SAL-1,2025-02-05,1
A046,Employee 46,Sales Rep,Sales,T-SAL-2,2024-07-21,1
A047,Employee 47,Sales Rep,Sales,T-SAL-1,2023-05-11,1
A048,Employee 48,Sales Rep,Sales,T-SAL-2,2022-09-13,1
A049,Employee 49,Sales Rep,Sales,T-SAL-1,2022-09-03,1
A050,Employee 50,Sales Rep,Sales,T-SAL-2,2023-06-25,1
A051,Employee 51,Sales Rep,Sales,T-SAL-1,2022-09-08,1
A052,Employee 52,Sales Rep,Sales,T-SAL-2,2023-06-03,1
A053,Employee 53,Sales Rep,Sales,T-SAL-1,2024-10-15,1
A054,Employee 54,Sales Rep,Sales,T-SAL-2,2023-05-19,1
A055,Employee 55,Sales Rep,Sales,T-SAL-1,2024-02-09,1
A056,Employee 56,Sales Rep,Sales,T-SAL-2,2023-02-26,1
A057,Employee 57,Support Lead,Support,T-LEAD,2021-03-30,1
A058,Employee 58,Support Lead,Support,T-LEAD,2023-07-30,1
A059,Employee 59,Sales Lead,Sales,T-LEAD,2024-01-04,1
A060,Employee 60,Sales Lead,Sales,T-LEAD,2021-09-13,1
A061,Employee 61,Operations Lead,Operations,T-LEAD,2023-02-15,1
A062,Employee 62,Product Lead,Product,T-LEAD,2021-06-11,1
